ID,sex,group,phase,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,feed.A,feed.B,feed.C,feed.D,total,feed.edge,feed.middle,feed.rewarding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,F,centre,trained2,0,1,0,1,2,2,3,0,0,4,4,3,1,2,2,1,2,7,11,6,26,10,18,13,C4,D4,D1,D3,B3,C3,D3,C3,D2,C2,C4,A4,B1,D2,C2,A2,B3,B2,B3,B2,C2,C4,B1,C2,C3,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,M,centre,trained2,2,3,1,2,0,1,2,1,2,0,3,0,2,3,3,2,8,4,5,10,27,13,9,6,B4,D4,D3,B3,B2,A2,A4,D4,D3,D2,D1,D3,C3,A4,A2,D2,A3,A1,C3,D1,D2,C1,C3,B3,A2,C1,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,M,centre,trained2,0,1,0,1,1,0,1,3,1,6,3,3,0,5,2,3,2,5,13,10,30,16,18,10,B4,C4,B4,B3,C2,D2,C3,C4,B4,C4,D2,C2,B1,A2,A4,C2,D2,C2,D4,C2,C1,D4,C2,D2,D2,D3,C3,C3,D4,D3,,,,,,,,,,,,,,,,,,,,,,,,
24,F,centre,trained2,3,6,3,2,0,2,1,0,0,2,2,0,1,0,2,1,14,3,4,4,25,11,7,7,A2,A1,A2,A3,A4,C3,D4,A3,A2,A1,B2,A2,A3,A4,C2,D3,D1,A2,A1,C2,B3,C3,D3,B2,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,F,centre,trained2,0,0,0,0,0,0,0,1,1,1,1,0,2,0,1,0,0,1,3,3,7,3,4,2,D1,D3,C2,C1,B4,D1,C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,M,centre,trained2,2,2,2,0,2,6,2,1,0,2,2,1,0,0,0,1,6,11,5,1,23,8,16,12,C2,B2,A2,A1,D4,C4,B4,B3,A3,A2,B2,B2,B1,A1,C3,C2,B1,B2,A3,C3,B3,B2,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,F,centre,trained2,2,0,1,0,1,2,3,0,1,3,3,0,1,2,0,2,3,6,7,5,21,5,13,11,A3,B2,B1,D4,C3,B3,D2,C2,B3,D2,C1,D1,A1,A1,C3,B3,B2,D4,C3,C2,C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,F,centre,trained2,3,0,0,1,1,1,3,0,1,3,0,1,1,2,1,1,4,5,5,5,19,6,10,7,D2,C2,A1,D1,C4,C2,C1,D2,A1,D3,D4,B1,A1,B3,B2,B3,C2,A4,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,F,centre,trained2,1,1,2,2,1,1,3,0,0,1,3,4,0,1,5,2,6,5,8,8,27,14,13,8,B2,D2,C2,D3,C4,A4,A3,A2,A1,D3,C3,C4,D3,D4,C4,B3,D3,C4,D3,A4,B3,C3,D4,C3,B3,A3,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,F,centre,trained2,2,1,1,1,1,1,1,0,0,3,0,0,3,2,3,1,5,3,3,9,20,8,6,5,D3,C2,B3,C2,B2,D4,D1,A2,A1,D1,D2,C2,A3,D3,D2,D1,A4,A1,B1,D3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,F,centre,trained2,1,0,0,3,4,1,2,2,1,3,2,1,2,4,3,1,4,9,7,10,30,15,16,8,C2,D3,C3,D4,B4,D3,D1,C2,A4,B1,B3,C1,B1,D2,B4,B3,B1,D2,C2,D3,D1,A4,A1,D2,B2,C3,C4,A4,B1,D2,,,,,,,,,,,,,,,,,,,,,,,,
37,M,centre,trained2,1,0,2,5,0,2,1,5,3,2,3,2,0,0,1,3,8,8,10,4,30,13,18,8,D4,C4,C3,C2,B2,B2,C1,D4,B4,C1,C4,B4,A4,A3,C2,C1,D4,B4,A4,D3,C3,B4,A4,B3,A1,C3,B4,A4,A3,A4,,,,,,,,,,,,,,,,,,,,,,,,
